DateTime,COGT,PT08_S1CO,NMHCGT,C6H6GT,PT08_S2NMHC,NOxGT,PT08_S3NOx,NO2GT,PT08_S4NO2,PT08_S5O3,T,RH,AH,Unnamed: 15,Unnamed: 16,hour,day,month,dayofweek,weekend,hour_sin,hour_cos,month_sin,month_cos,COGT_lag_1,COGT_lag_3,COGT_lag_6,COGT_lag_12,COGT_lag_24,COGT_rolling_mean_3,COGT_rolling_std_3,COGT_rolling_mean_6,COGT_rolling_std_6,COGT_rolling_mean_12,COGT_rolling_std_12,COGT_rolling_mean_24,COGT_rolling_std_24,T_lag_1,T_lag_6,T_lag_24,RH_lag_1,RH_lag_6,RH_lag_24,temp_humidity
2004-03-11 18:00:00,4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,,,18,11,3,3,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,2.9,2.2,1.6,0.7,2.6,3.2999999999999994,1.3453624047073707,2.8166666666666664,1.0534071704078467,2.25,0.9605869417846953,1.7458333333333333,0.9413122970511487,9.8,9.5,13.6,67.6,66.8,48.9,6.612600000000001
2004-03-11 19:00:00,6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,,,19,11,3,3,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,4.8,2.2,1.9,1.1,2.0,4.866666666666666,2.000833159794522,3.65,1.8555322686496187,2.733333333333333,1.5853495934125492,1.95,1.412367731398467,10.3,8.3,13.3,64.2,76.4,47.7,6.722099999999999
2004-03-11 20:00:00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,,,20,11,3,3,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,6.9,2.9,2.9,2.0,2.2,5.933333333333333,1.0598742063723083,4.183333333333334,2.0468675254316455,3.0749999999999997,1.8350749303502576,2.1125000000000003,1.6472143811269084,9.7,8.0,11.9,69.3,81.1,54.0,6.5088
2004-03-11 21:00:00,3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,,,21,11,3,3,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,6.1,4.8,2.2,2.2,2.2,5.633333333333333,1.5534906930308046,4.466666666666666,1.8228183306810002,3.2166666666666663,1.826986258262166,2.183333333333333,1.6872067646458353,9.6,8.3,11.0,67.8,79.8,60.0,5.824
2004-03-11 22:00:00,1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,,,22,11,3,3,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,3.9,6.9,2.2,1.7,1.6,3.8333333333333335,2.300724523564985,4.35,2.0097263495311997,3.1999999999999997,1.842922580132882,2.1791666666666667,1.6888326729138827,9.1,9.7,11.2,64.0,71.2,59.6,5.1988
2004-03-11 23:00:00,1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,,,23,11,3,3,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,1.5,6.1,2.9,1.5,1.2,2.1333333333333333,1.550268793897796,4.033333333333333,2.396386168101182,3.158333333333333,1.8899054008712781,2.1708333333333334,1.6943587132822149,8.2,9.8,11.2,63.4,67.6,59.2,4.9856
2004-03-12 00:00:00,1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,,,0,12,3,4,0,0.0,1.0,1.0,6.123233995736766e-17,1.0,3.9,4.8,1.6,1.2,1.4000000000000001,0.3605551275463903,3.516666666666667,2.5285700834002345,3.1666666666666665,1.8826158461678861,2.191666666666667,1.684950435773852,8.2,10.3,11.3,60.8,64.2,56.8,4.855500000000001
2004-03-12 01:00:00,1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,,,1,12,3,4,0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,1.7,1.5,6.9,1.9,1.0,1.5333333333333332,0.47258156262525425,2.683333333333333,1.947733725812301,3.1666666666666665,1.8826158461678861,2.2291666666666665,1.6671973792713557,8.3,9.7,10.7,58.5,69.3,60.0,4.596900000000001
2004-03-12 02:00:00,1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,,,2,12,3,4,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.9,1.0,6.1,2.9,0.9,1.6666666666666667,0.2516611478423461,1.9000000000000001,1.0256705123966476,3.041666666666666,1.9505049851178793,2.25,1.652928889288187,7.7,9.6,10.7,59.7,67.8,59.7,4.3877999999999995
2004-03-12 03:00:00,0.8,889.0,21.0,1.9,574.0,82.0,1680.0,91.0,1187.0,512.0,7.0,62.3,0.6261,,,3,12,3,4,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,1.4,1.7,3.9,2.2,0.6,1.3666666666666665,0.5507570547286046,1.383333333333333,0.41673332800085544,2.9250000000000003,2.045005001105243,2.2583333333333333,1.6447324790178592,7.1,9.1,10.3,61.8,64.0,60.2,4.361
2004-03-12 04:00:00,0.8,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,,,4,12,3,4,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,0.8,1.9,1.5,2.2,0.6,1.0,0.34641016151376663,1.2666666666666666,0.47187568984497236,2.808333333333333,2.128361868297833,2.2666666666666666,1.6364507369587251,7.0,8.2,10.1,62.3,63.4,60.5,4.0199
2004-03-12 05:00:00,0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,,,5,12,3,4,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,0.8,1.4,1.0,2.9,0.7,0.7333333333333334,0.1154700538379252,1.2,0.5403702434442537,2.6166666666666667,2.2209061759615696,2.2625,1.6407348565704387,6.1,8.2,11.0,65.9,60.8,56.2,4.095
2004-03-12 06:00:00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,,,6,12,3,4,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,0.6,0.8,1.7,4.8,0.7,0.7333333333333334,0.1154700538379252,1.05,0.496990945591569,2.2833333333333337,2.1628404443876086,2.2666666666666666,1.6367164017355438,6.3,8.3,10.5,65.0,58.5,58.1,4.2772
2004-03-12 07:00:00,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,,,7,12,3,4,0,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,0.8,0.8,1.9,6.9,1.1,0.9333333333333332,0.4163331998932265,0.9666666666666667,0.3444802848737044,1.825,1.6068744364590075,2.2791666666666663,1.6285440728151788,6.8,7.7,10.2,62.9,59.7,59.6,4.166399999999999
2004-03-12 08:00:00,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,,,8,12,3,4,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,1.4,0.6,1.4,6.1,2.0,2.1999999999999997,1.9287301521985911,1.4666666666666668,1.4624180888742688,1.6833333333333333,1.2253632732847635,2.379166666666667,1.6834176331309567,6.4,7.1,10.8,65.1,61.8,57.4,4.6063
