DateTime,PT08_S1CO,NMHCGT,C6H6GT,PT08_S2NMHC,NOxGT,PT08_S3NOx,NO2GT,PT08_S4NO2,PT08_S5O3,T,RH,AH,Unnamed: 15,Unnamed: 16,hour,day,month,dayofweek,weekend,hour_sin,hour_cos,month_sin,month_cos,COGT_lag_1,COGT_lag_3,COGT_lag_6,COGT_lag_12,COGT_lag_24,COGT_rolling_mean_6,COGT_rolling_std_6,COGT_rolling_mean_12,COGT_rolling_std_12,COGT_rolling_mean_24,COGT_rolling_std_24,temp_humidity
2004-03-11 18:00:00,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,,,18,11,3,3,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,2.9,2.2,1.6,0.7,2.6,2.8166666666666664,1.0534071704078467,2.25,0.9605869417846953,1.7458333333333333,0.9413122970511487,6.612600000000001
2004-03-11 19:00:00,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,,,19,11,3,3,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,4.8,2.2,1.9,1.1,2.0,3.65,1.8555322686496187,2.733333333333333,1.5853495934125492,1.95,1.412367731398467,6.722099999999999
2004-03-11 20:00:00,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,,,20,11,3,3,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,6.9,2.9,2.9,2.0,2.2,4.183333333333334,2.0468675254316455,3.0749999999999997,1.8350749303502576,2.1125000000000003,1.6472143811269084,6.5088
2004-03-11 21:00:00,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,,,21,11,3,3,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,6.1,4.8,2.2,2.2,2.2,4.466666666666666,1.8228183306810002,3.2166666666666663,1.826986258262166,2.183333333333333,1.6872067646458353,5.824
2004-03-11 22:00:00,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,,,22,11,3,3,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,3.9,6.9,2.2,1.7,1.6,4.35,2.0097263495311997,3.1999999999999997,1.842922580132882,2.1791666666666667,1.6888326729138827,5.1988
2004-03-11 23:00:00,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,,,23,11,3,3,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,1.5,6.1,2.9,1.5,1.2,4.033333333333333,2.396386168101182,3.158333333333333,1.8899054008712781,2.1708333333333334,1.6943587132822149,4.9856
2004-03-12 00:00:00,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,,,0,12,3,4,0,0.0,1.0,1.0,6.123233995736766e-17,1.0,3.9,4.8,1.6,1.2,3.516666666666667,2.5285700834002345,3.1666666666666665,1.8826158461678861,2.191666666666667,1.684950435773852,4.855500000000001
2004-03-12 01:00:00,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,,,1,12,3,4,0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,1.7,1.5,6.9,1.9,1.0,2.683333333333333,1.947733725812301,3.1666666666666665,1.8826158461678861,2.2291666666666665,1.6671973792713557,4.596900000000001
2004-03-12 02:00:00,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,,,2,12,3,4,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,1.9,1.0,6.1,2.9,0.9,1.9000000000000001,1.0256705123966476,3.041666666666666,1.9505049851178793,2.25,1.652928889288187,4.3877999999999995
2004-03-12 03:00:00,889.0,21.0,1.9,574.0,82.0,1680.0,91.0,1187.0,512.0,7.0,62.3,0.6261,,,3,12,3,4,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,1.4,1.7,3.9,2.2,0.6,1.383333333333333,0.41673332800085544,2.9250000000000003,2.045005001105243,2.2583333333333333,1.6447324790178592,4.361
